x1,y1,x2,y2,d,x
-37.074562,-51.187763000000004,-32.504909999999995,-55.16475,1,0
-37.074562,-51.187763000000004,-35.773163000000004,-51.53862,1,0
-35.248474,-51.306038,-36.653976,-53.372948,0,1
-34.25093,-54.349155,-38.33508,-51.021774,1,0
-39.036026,-49.932693,-34.659027,-53.39643,1,0
-39.036026,-49.932693,-36.990387,-51.3083,1,0
-39.036026,-49.932693,-34.25093,-54.349155,1,0
-39.036026,-49.932693,-32.048984999999995,-56.38460500000001,1,0
-39.036026,-49.932693,-39.416668,-50.265507,1,0
-39.036026,-49.932693,-34.452206,-53.66814,1,0
-39.036026,-49.932693,-36.738503,-51.863735,1,0
-39.036026,-49.932693,-32.504909999999995,-55.16475,1,0
-39.036026,-49.932693,-34.291503999999996,-54.542526,1,0
-39.036026,-49.932693,-38.94262,-51.804005,1,0
-39.036026,-49.932693,-32.739585999999996,-56.187443,1,0
-39.036026,-49.932693,-32.82741,-56.25747,1,0
-39.036026,-49.932693,-32.30312,-54.135773,1,0
-39.036026,-49.932693,-39.384712,-49.702263,1,0
-39.036026,-49.932693,-36.49419,-52.819922999999996,1,0
-39.036026,-49.932693,-35.348335,-51.196827,1,0
-39.036026,-49.932693,-32.580017,-53.662346,1,0
-39.036026,-49.932693,-39.586132,-50.066788,1,0
-39.036026,-49.932693,-38.02864,-52.827053,1,0
-39.036026,-49.932693,-36.653976,-53.372948,1,1
-39.036026,-49.932693,-37.074562,-51.187763000000004,1,0
-38.761959999999995,-49.51222,-32.504909999999995,-55.16475,1,0
-38.125656,-50.79694,-36.653976,-53.372948,0,1
-38.125656,-50.79694,-39.036026,-49.932693,1,0
-36.303672999999996,-52.050144,-32.504909999999995,-55.16475,1,0
-36.303672999999996,-52.050144,-35.773163000000004,-51.53862,1,0
-34.994934,-54.42703,-35.773163000000004,-51.53862,1,0
-37.743587,-49.904903000000004,-36.653976,-53.372948,0,1
-37.743587,-49.904903000000004,-32.504909999999995,-55.16475,1,0
-37.743587,-49.904903000000004,-38.33508,-51.021774,1,0
-34.291503999999996,-54.542526,-32.504909999999995,-55.16475,1,0
-34.291503999999996,-54.542526,-35.773163000000004,-51.53862,1,0
-34.291503999999996,-54.542526,-35.348335,-51.196827,1,0
-35.524708000000004,-54.131622,-36.653976,-53.372948,0,1
-35.524708000000004,-54.131622,-35.348335,-51.196827,1,0
-32.82741,-56.25747,-38.33508,-51.021774,1,0
-10.242969500000001,-13.240553,0.9352936,-6.245514,0,1
-2.7628345000000003,-6.914024,0.9352936,-6.245514,0,1
4.5807824,-12.013384,0.9352936,-6.245514,0,1
0.5521885999999999,-5.7188425,0.9352936,-6.245514,0,1
-1.6681111000000002,-7.523597200000001,0.9352936,-6.245514,0,1
0.9352936,-6.245514,1.6558688000000001,-5.640936,0,1
0.9352936,-6.245514,-1.140871,-8.609166,0,1
0.9352936,-6.245514,-0.8375435999999999,-7.9927073,0,1
0.9352936,-6.245514,0.06619954,-7.242637599999999,0,1
0.9352936,-6.245514,-3.292996,-12.194251,0,1
0.9352936,-6.245514,-10.808587,-11.084635,0,1
0.9352936,-6.245514,-3.2524443,-12.195306,0,1
0.9352936,-6.245514,1.9809616,-5.744657,0,1
0.9352936,-6.245514,-10.981883999999999,-11.135372,0,1
0.9352936,-6.245514,-10.633436,-13.308951,0,1
0.9352936,-6.245514,-0.15123287,-7.888574,0,1
0.9352936,-6.245514,-10.951637,-11.162587,0,1
4.501124,-12.123664999999999,0.9352936,-6.245514,0,1
-1.1047848,-4.69944,0.9352936,-6.245514,0,1
-0.26515900000000003,-5.4605107,0.9352936,-6.245514,0,1
-11.685425,-11.414463,0.9352936,-6.245514,0,1
0.07669038,-5.9090047,0.9352936,-6.245514,0,1
-0.31661308,-6.701304400000001,0.9352936,-6.245514,0,1
-1.4896556,-6.720121400000001,0.9352936,-6.245514,0,1
-1.0561488,-4.508161,0.9352936,-6.245514,0,1
5.2482242999999995,19.949553,5.9927235,17.928568,1,0
5.2482242999999995,19.949553,7.8354816,20.048132,1,0
5.2482242999999995,19.949553,1.2557764,6.558509299999999,1,0
5.888476,20.980812,5.9927235,17.928568,1,0
5.888476,20.980812,-0.053888522,5.983774700000001,0,1
5.888476,20.980812,1.2557764,6.558509299999999,1,0
12.165461,27.82674,-0.053888522,5.983774700000001,0,1
6.4194517,20.555517000000002,4.6199737,21.784451999999998,1,0
7.8736606,19.800291,4.6199737,21.784451999999998,1,0
-0.26913607,5.818849,5.9927235,17.928568,1,0
13.434925,30.28605,7.8354816,20.048132,1,0
4.678815,20.515131,4.6199737,21.784451999999998,1,0
4.678815,20.515131,-0.053888522,5.983774700000001,0,1
4.678815,20.515131,7.8354816,20.048132,1,0
1.150392,19.00244,7.8354816,20.048132,1,0
6.150881,18.3303,-0.053888522,5.983774700000001,0,1
6.150881,18.3303,1.2557764,6.558509299999999,1,0
1.481874,19.124926000000002,1.2557764,6.558509299999999,1,0
1.481874,19.124926000000002,5.9927235,17.928568,1,0
1.481874,19.124926000000002,-0.053888522,5.983774700000001,0,1
12.610062,28.575006,4.6199737,21.784451999999998,1,0
12.610062,28.575006,1.2557764,6.558509299999999,1,0
6.7665467,20.982473000000002,7.8354816,20.048132,1,0
6.7665467,20.982473000000002,4.6199737,21.784451999999998,1,0
-1.0304029000000001,24.808933,4.6199737,21.784451999999998,1,0
8.72914,21.972397,5.9927235,17.928568,1,0
