ori
 ,,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC,ANB_G,SP
,rate-15,0.06883572162766793,0.09927564054560165,1.0,0.8902438459637366,10.11706016123563,0.011022222222222225,0.013398131991904243,0.14627377412272022,0.0020732214826395937,11.187686800894856
,rate-20,0.03705126643317598,0.1239115746929949,1.0,0.8307758228292638,13.269577286527129,0.005666666666666667,0.004413779358063153,0.22812930960843167,0.001959235767833371,8.336150753768845
,rate-25,0.027521155590102337,0.13186312141961767,1.0,0.8024769022283043,16.144582344445308,0.008647619047619046,0.009479357476610523,0.09615536791347987,0.0020501713402409283,7.825246586345381
,rate-30,0.0211989255759317,0.14046307256901308,1.0,0.7837133739792859,18.745169924816615,0.007837518037518037,0.007139810399219801,0.0884358534707548,0.0018460537438956288,7.317279821627648
,rate-35,0.01612034383954155,0.1553341385017033,1.0,0.7583982009623437,21.895271753545554,0.0070965986394557826,0.0068235583418538425,0.061744374041563674,0.0017857592406260868,6.609879656160459
,rate-40,0.013568676716917926,0.1596708484882235,1.0,0.7311489762870543,24.2849498241337,0.007049675324675324,0.00778899841751141,0.014414887524381425,0.0016703264517357098,6.400333333333333
ISRW
,rate-5,0.026023809523809525,0.45700646609639534,1.0,0.7745854658051466,3.430520548632395,0.2474306390018949,0.2514426026620225,0.3352852226685271,0.0024466369937415967,2.249142857142857
,rate-10,0.011708925994640278,0.4719723346854094,1.0,0.8104534256037697,6.536633628415444,0.22447132280955123,0.23075336625216272,0.06325444090159253,0.0022276669736180114,2.1474747474747473
,rate-15,0.007601668782876837,0.47665210419201526,1.0,0.8440465542767797,9.133805391370819,0.22052414533664963,0.23623805299429773,0.09585709534422064,0.0021299373334032917,2.125046979865772
,rate-20,0.005524897213339425,0.4822534872710662,1.0,0.8720910339715356,11.595639697201312,0.21321503042002182,0.21760024205195821,0.1720593242090392,0.002013019366174624,2.093929648241206
